tarih,hafta,uretim,OEE,saat,kayip_metre,gun,tecrube
2019-06-01,Hafta 22,20800,91,0.5,1988,6,0
2019-06-10,Hafta 24,74500,100,1,137,1,1
2019-06-11,Hafta 24,76500,74,6.3,24710,2,1
2019-06-12,Hafta 24,86350,92,2,7890,3,1
2019-06-13,Hafta 24,86800,87,3,11709,4,1
2019-06-14,Hafta 24,37700,91,0.9,3491,5,1
2019-06-17,Hafta 25,69500,80,4.2,16508,1,1
2019-06-18,Hafta 25,89900,93,1.7,6438,2,0
2019-06-19,Hafta 25,79200,83,4,15779,3,0
2019-06-20,Hafta 25,89250,93,1.6,6169,4,0
2019-06-21,Hafta 25,46600,97,0.4,1386,5,0
2019-06-24,Hafta 26,44690,75,3.5,13511,6,1
2019-06-25,Hafta 26,88750,90,2.3,8920,1,0
2019-06-26,Hafta 26,92750,98,0.6,2299,2,0
2019-06-27,Hafta 26,89650,94,1.4,5507,3,0
2019-06-28,Hafta 26,27050,89,0.8,3044,4,1
2019-07-01,Hafta 27,73610,87,2.6,10189,1,1
2019-07-02,Hafta 27,58910,61,9.4,36471,2,1
2019-07-03,Hafta 27,84950,88,3,11666,3,0
2019-07-04,Hafta 27,84180,86,3.4,13177,4,0
2019-07-05,Hafta 27,86240,91,2.1,8128,5,1
2019-07-06,Hafta 27,85730,93,1.7,6787,6,0
2019-07-08,Hafta 28,47720,92,1,3848,1,0
2019-07-09,Hafta 28,70570,70,7,27465,2,1
2019-07-10,Hafta 28,81770,81,4.6,17770,3,0
2019-07-11,Hafta 28,80800,84,3.7,14434,4,1
2019-07-12,Hafta 28,17730,73,0.6,2345,5,0
2019-07-16,Hafta 29,40000,69,2.1,8062,2,1
2019-07-17,Hafta 29,74420,86,0.4,1672,3,0
2019-07-18,Hafta 29,87800,91,0.3,1102,4,0
2019-07-19,Hafta 29,86060,89,0.3,1176,5,1
2019-07-20,Hafta 29,84080,85,0.6,2343,6,1
2019-07-22,Hafta 30,13900,44,3.9,15315,1,1
2019-08-15,Hafta 33,22100,65,1.8,6873,4,0
2019-08-16,Hafta 33,51800,85,0.7,2894,5,0
2019-08-17,Hafta 33,44580,81,1.1,4203,6,0
2019-08-19,Hafta 34,62700,66,5.5,21574,1,0
2019-08-20,Hafta 34,40005,37,6.5,25366,2,1
2019-08-21,Hafta 34,8600,9,21.7,84611,3,1
2019-08-22,Hafta 34,84600,87,0.5,2090,4,1
2019-08-23,Hafta 34,66700,68,5.6,21986,5,0
2019-08-24,Hafta 34,79510,81,1.3,5225,6,0
2019-08-26,Hafta 35,11000,83,0.3,1309,1,0
2019-08-27,Hafta 35,83800,83,1.1,4281,2,0
2019-08-28,Hafta 35,79355,77,2.5,9853,3,0
2019-08-29,Hafta 35,84510,88,3,11670,4,1
2019-08-30,Hafta 35,84690,89,2.6,10249,5,1
2019-08-31,Hafta 35,52840,89,1.6,6351,6,1
2019-09-02,Hafta 36,37240,84,1.7,6707,1,0
2019-09-03,Hafta 36,67700,69,7.5,29082,2,0
2019-09-04,Hafta 36,85250,90,2.5,9557,3,1
2019-09-05,Hafta 36,67990,71,7,27417,4,0
2019-09-06,Hafta 36,2987,3,23.4,91207,5,0
2019-09-09,Hafta 37,47240,79,3.1,12125,1,0
2019-09-10,Hafta 37,84800,89,2.7,10536,2,1
2019-09-11,Hafta 37,84650,88,3,11607,3,1
2019-09-12,Hafta 37,86600,91,2.2,8498,4,1
2019-09-13,Hafta 37,80710,84,3.8,14843,5,0
2019-09-14,Hafta 37,54750,88,1.8,6973,6,1
2019-09-16,Hafta 38,72300,85,3.1,11922,1,1
2019-09-17,Hafta 38,84230,88,2.8,10945,2,1
2019-09-18,Hafta 38,76210,83,4.2,16252,3,0
2019-09-19,Hafta 38,82200,90,2.5,9662,4,1
2019-09-20,Hafta 38,85900,96,0.9,3511,5,1
2019-09-21,Hafta 38,47590,80,3.1,12161,6,0
2019-09-24,Hafta 39,18120,88,0.6,2397,2,1
2019-09-25,Hafta 39,85330,95,1.3,5026,3,1
2019-09-26,Hafta 39,86650,97,0.8,3246,4,1
